0 2 4
0 4 13
0 10 14
0 12 19
0 15 20
0 17 12
0 21 4
0 28 18
1 2 3
1 4 14
1 19 4
1 24 5
1 27 4
1 28 3
2 8 6
2 12 17
2 15 3
2 18 2
3 6 7
3 9 12
3 27 16
4 10 8
4 13 11
4 25 8
5 7 16
5 17 17
5 22 6
5 26 8
6 13 20
6 15 2
6 21 20
6 28 7
6 29 16
7 22 7
7 26 10
8 13 9
8 17 7
8 21 7
9 11 14
9 19 8
9 20 4
9 22 3
10 20 3
10 26 3
10 29 3
11 13 18
11 16 7
11 17 15
11 20 12
11 22 7
11 29 14
12 22 16
12 23 1
13 14 16
13 16 3
13 27 18
13 29 12
14 18 15
14 24 10
14 25 10
14 28 7
15 21 14
15 26 1
16 18 20
16 19 8
16 20 14
16 24 7
16 28 13
17 22 16
17 28 11
18 19 19
20 25 19
21 25 2
21 28 12
22 23 7
23 26 4
26 28 10
27 29 5
