0 1 2
0 2 9
0 3 6
0 4 7
0 5 11
0 6 19
0 7 20
0 8 1
0 9 14
0 10 19
0 11 10
0 12 6
0 13 15
0 14 17
0 15 13
0 16 19
0 17 17
0 18 20
0 19 4
0 20 3
0 21 19
0 22 11
0 23 8
0 24 7
1 2 14
1 3 8
1 4 13
1 5 7
1 6 14
1 7 7
1 8 16
1 9 18
1 10 8
1 11 3
1 12 1
1 13 8
1 14 13
1 15 17
1 16 7
1 17 6
1 18 9
1 19 20
1 20 20
1 21 12
1 22 5
1 23 1
1 24 14
2 3 9
2 4 17
2 5 9
2 6 8
2 7 20
2 8 2
2 9 12
2 10 12
2 11 20
2 12 1
2 13 6
2 14 11
2 15 12
2 16 4
2 17 9
2 18 12
2 19 12
2 20 5
2 21 8
2 22 16
2 23 19
2 24 2
3 4 9
3 5 2
3 6 5
3 7 16
3 8 18
3 9 14
3 10 13
3 11 4
3 12 15
3 13 9
3 14 14
3 15 12
3 16 17
3 17 4
3 18 5
3 19 20
3 20 9
3 21 17
3 22 15
3 23 3
3 24 1
4 5 5
4 6 3
4 7 17
4 8 11
4 9 14
4 10 9
4 11 10
4 12 17
4 13 7
4 14 20
4 15 15
4 16 20
4 17 3
4 18 14
4 19 19
4 20 5
4 21 12
4 22 20
4 23 4
4 24 18
5 6 5
5 7 7
5 8 7
5 9 11
5 10 20
5 11 16
5 12 5
5 13 17
5 14 8
5 15 3
5 16 3
5 17 10
5 18 2
5 19 4
5 20 9
5 21 1
5 22 19
5 23 15
5 24 16
6 7 19
6 8 14
6 9 19
6 10 16
6 11 2
6 12 7
6 13 13
6 14 10
6 15 5
6 16 3
6 17 18
6 18 5
6 19 4
6 20 10
6 21 9
6 22 17
6 23 8
6 24 9
7 8 15
7 9 5
7 10 11
7 11 4
7 12 16
7 13 6
7 14 13
7 15 20
7 16 16
7 17 4
7 18 15
7 19 15
7 20 8
7 21 5
7 22 19
7 23 15
7 24 5
8 9 8
8 10 10
8 11 2
8 12 17
8 13 17
8 14 19
8 15 2
8 16 18
8 17 13
8 18 15
8 19 17
8 20 11
8 21 13
8 22 1
8 23 14
8 24 15
9 10 13
9 11 11
9 12 9
9 13 10
9 14 2
9 15 3
9 16 13
9 17 13
9 18 11
9 19 2
9 20 15
9 21 12
9 22 13
9 23 7
9 24 19
10 11 10
10 12 6
10 13 16
10 14 11
10 15 15
10 16 9
10 17 2
10 18 4
10 19 10
10 20 18
10 21 7
10 22 2
10 23 9
10 24 13
11 12 16
11 13 16
11 14 2
11 15 2
11 16 20
11 17 16
11 18 1
11 19 16
11 20 16
11 21 20
11 22 1
11 23 11
11 24 14
12 13 3
12 14 17
12 15 12
12 16 11
12 17 5
12 18 13
12 19 11
12 20 20
12 21 5
12 22 8
12 23 4
12 24 6
13 14 5
13 15 11
13 16 4
13 17 14
13 18 12
13 19 14
13 20 8
13 21 20
13 22 1
13 23 5
13 24 7
14 15 20
14 16 2
14 17 8
14 18 17
14 19 6
14 20 6
14 21 16
14 22 4
14 23 4
14 24 9
15 16 7
15 17 4
15 18 3
15 19 13
15 20 2
15 21 10
15 22 7
15 23 15
15 24 13
16 17 10
16 18 17
16 19 17
16 20 18
16 21 15
16 22 14
16 23 6
16 24 15
17 18 17
17 19 6
17 20 17
17 21 6
17 22 2
17 23 9
17 24 20
18 19 4
18 20 7
18 21 7
18 22 15
18 23 1
18 24 1
19 20 1
19 21 3
19 22 15
19 23 6
19 24 10
20 21 3
20 22 9
20 23 19
20 24 19
21 22 16
21 23 11
21 24 13
22 23 17
22 24 19
23 24 6
